observation_date,labor_hours_index,gdp,deflator,investment_nominal,investment_real,capital,labor_growth,gdp_growth,capital_growth
1985-04-01,2.6,8474.787,50.678,255947250000.0,20201843008.800663,331453570206.04584,0.026000000000000002,0.008766200074861175,0.01061463125395079
1985-07-01,2.4,8604.22,50.984,258027500000.0,20243801977.09085,335082734704.5442,0.024,0.015157260373827697,0.010889730494099581
1985-10-01,2.3,8668.188,51.269,263251500000.0,20538844135.83257,338572399946.40784,0.023,0.007406991828691645,0.010360483509298746
1986-01-01,1.3,8749.127,51.524,265514000000.0,20612840617.964443,342182624084.92,0.013000000000000001,0.009294151553612906,0.01060662898407827
1986-04-01,0.4,8788.524,51.719,268504250000.0,20766391461.551846,345686333498.63837,0.004,0.004492855545075614,0.010187230216413212
1986-07-01,0.6,8872.601,51.931,272131250000.0,20960986693.882267,349168408285.25824,0.006,0.009521209453502877,0.010022537734620585
1986-10-01,0.8,8920.193,52.214,274514000000.0,21029915348.374,352670974564.87756,0.008,0.005349594167116223,0.00998118784296409
1987-01-01,2.2,8986.367,52.548,272719000000.0,20759610261.094616,356067341185.0077,0.022000000000000002,0.007391067993541611,0.00958433470761122
1987-04-01,3.1,9083.256,52.912,277880000000.0,21006954944.05806,359023584386.85187,0.031,0.010724067520746061,0.008268207405915717
1987-07-01,3.3,9162.024,53.313,283448750000.0,21266764203.85272,362079360111.5673,0.033,0.0086343963330755,0.008475333625241888
1987-10-01,3.6,9319.332,53.738,285617250000.0,21259983624.250996,365242156309.8417,0.036000000000000004,0.01702383733255708,0.008697160920331015
1988-01-01,2.4,9367.502,54.159,286284500000.0,21144001920.271793,368240032118.6005,0.024,0.005155512880753221,0.008174411183958341
1988-04-01,3.3,9490.594,54.686,293267500000.0,21451011227.736534,370972032432.94226,0.033,0.013054737675524564,0.007391688757209636
1988-07-01,2.8,9546.206,55.34,295481750000.0,21357553306.8305,373874442039.0316,0.027999999999999997,0.005842595204775591,0.007793349087847901
1988-10-01,2.9,9673.405,55.818,301847750000.0,21630853846.429466,376538273243.9105,0.028999999999999998,0.013236569374035057,0.007099672859741446
1989-01-01,3.9,9771.725,56.4,305289000000.0,21651702127.659576,379342213428.1444,0.039,0.010112643926211362,0.00741903804873445
1989-04-01,2.8,9846.293,57.001,308006500000.0,21614112033.122227,382026804884.3967,0.027999999999999997,0.007602027800347244,0.0070520405147895815
1989-07-01,2.8,9919.228,57.417,315419500000.0,21973944998.86793,384539576673.29913,0.027999999999999997,0.007380056517089173,0.006555937879163309
1989-10-01,1.6,9938.767,57.826,313726000000.0,21701380002.07519,387286542838.5021,0.016,0.0019678730209609085,0.007118125946483644
1990-01-01,0.9,10047.386,58.45,320931750000.0,21962822925.577415,389623595698.65216,0.009000000000000001,0.010869532462091769,0.006016294017829438
1990-04-01,0.1,10083.855,59.105,317334000000.0,21475949581.253704,392105238839.29694,0.001,0.003623128836839129,0.006349136343875017
1990-07-01,-0.6,10090.569,59.611,317623250000.0,21313063025.28057,393975926478.5858,-0.006,0.0006655952356169337,0.004759536936497
1990-10-01,-1.1,9998.704,60.055,313383250000.0,20873083007.24336,395590193179.9371,-0.011000000000000001,-0.009145740648071055,0.004089002580943912
1991-01-01,-2.3,9951.916,60.643,307801250000.0,20302508121.300068,396683766528.18353,-0.023,-0.004690389148507279,0.002760595698863
1991-04-01,-2.5,10029.51,61.088,310146000000.0,20308145625.98219,397152086323.0744,-0.025,0.0077666518940624485,0.0011798908994578028
1991-07-01,-2.1,10080.195,61.566,310668000000.0,20184387486.599747,397602627632.90283,-0.021,0.005040860353405563,0.0011337871929057997
1991-10-01,-1.9,10115.329,61.931,310216000000.0,20036233873.181446,397906883737.8574,-0.019,0.0034793883481079035,0.000764933958528502
1992-01-01,-1.5,10236.435,62.161,314020250000.0,20206898215.92317,398047773424.146,-0.015,0.011901418421425447,0.0003540143562013043
1992-04-01,-0.5,10347.429,62.535,321750000000.0,20580474934.03694,398352282968.8618,-0.005,0.0107846685927111,0.0007647150627647648
1992-07-01,-0.2,10449.673,62.841,324446250000.0,20651883324.581085,399015143754.4556,-0.002,0.009832602998745443,0.0016626235686949542
1992-10-01,0.6,10558.648,63.273,332579250000.0,21025034374.851833,399716269891.31396,0.006,0.010374553723314861,0.0017555997046336813
1993-01-01,2.1,10576.275,63.628,334094250000.0,21002970390.394165,400755490771.60004,0.021,0.001668045262061213,0.0025965224889077376
1993-04-01,2.9,10637.847,64.007,340892250000.0,21303435561.73543,401720686623.4142,0.028999999999999998,0.005804828773424475,0.0024055450976376846
1993-07-01,3.3,10688.606,64.387,344981750000.0,21431764175.99826,402938087853.9789,0.033,0.004760200474761334,0.003025884258153866
1993-10-01,3.6,10833.987,64.738,357926500000.0,22115388180.048813,404222947637.2782,0.036000000000000004,0.013509823020076084,0.0031836543441627896
1994-01-01,3.4,10939.116,65.048,360001000000.0,22137559955.725002,406127188435.4631,0.034,0.009656852032588148,0.004699806215899827
1994-04-01,3.8,11087.361,65.362,368457500000.0,22548728619.075306,407958388969.41486,0.038,0.013460821575336013,0.00449879883215587
